ASV_ID	10m_0_mV	10m_200_mV	10m_400_mV	10m_600_mV	10m_800_mV	10m_Cont	20_5m_0_mV	20_5m_200_mV	20_5m_400_mV	20_5m_600_mV	20_5m_800_mV	20_5m_Cont	35m_0_mV	35m_200_mV	35m_400_mV	35m_600_mV	35m_Cont
ASV977	0	0	0	0	0	0	0	0	0	0	0	0	0	769	0	42	0
ASV978	22	57	27	307	405	39	0	0	0	0	0	0	0	0	0	0	0
ASV979	26	508	105	14	0	118	0	0	0	0	0	0	0	0	0	0	0
ASV980	21	55	342	119	259	0	0	0	0	0	0	0	0	0	0	0	0
ASV981	0	0	0	0	0	0	0	0	0	0	0	0	0	1111	0	0	0
ASV982	104	120	85	146	331	49	0	0	0	0	0	0	0	0	0	0	0
ASV983	274	189	105	63	39	127	0	0	0	0	7	0	0	0	0	0	0
ASV984	82	45	208	220	228	0	32	0	0	0	0	0	0	0	0	0	0
ASV985	112	122	115	85	218	84	73	0	0	0	0	0	0	0	0	0	0
ASV986	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	126	32
ASV987	187	128	59	58	175	76	52	0	0	107	0	0	0	0	0	0	0
ASV988	72	12	427	0	114	125	0	0	0	0	0	0	0	0	0	0	0
ASV989	90	99	102	243	234	51	0	0	0	0	0	0	0	0	0	0	0
ASV990	0	0	0	0	0	0	154	171	224	97	22	377	0	0	0	0	0
ASV991	0	0	0	0	0	0	0	41	0	0	0	0	0	0	1230	0	27
ASV992	35	0	75	0	0	617	0	0	0	0	0	0	0	0	0	0	0
ASV993	90	139	228	49	64	186	0	0	0	0	0	0	0	0	0	0	0
ASV994	327	134	25	83	0	224	0	0	0	0	0	0	0	0	0	0	0
ASV995	189	93	86	198	231	25	0	0	0	0	0	0	0	0	0	0	0
ASV996	58	70	172	158	278	60	0	0	0	0	0	0	0	0	0	0	0
ASV997	134	306	125	108	0	94	0	0	0	0	0	0	0	0	0	0	0
ASV998	0	0	0	0	0	0	0	0	0	0	0	453	0	0	237	54	0
ASV999	0	0	0	0	0	0	92	138	164	246	317	60	0	0	0	0	0
